70,Yo-kai Watch 2: Fleshy Souls,3DS,"Sep 30, 2016",7.7,/game/3ds/yo-kai-watch-2-fleshy-souls,E10+,['Level 5'],"['Role-Playing', 'Trainer']"
81,Dragon Quest VII: Fragments of the Forgotten Past,3DS,"Sep 16, 2016",8.3,/game/3ds/dragon-quest-vii-fragments-of-the-forgotten-past,E10+,['ArtePiazza'],"['Role-Playing', 'Japanese-Style']"
86,Picross 3D: Round 2,3DS,"Sep 1, 2016",7.5,/game/3ds/picross-3d-round-2,E,['HAL Labs'],"['Puzzle', 'Logic']"
,Hyrule Warriors Legends: Phantom Hourglass & Spirit Tracks Pack,3DS,"Sep 1, 2016",,/game/3ds/hyrule-warriors-legends-phantom-hourglass-spirit-tracks-pack,E10+,['Omega Force'],"['Action', ""Beat-'Em-Up"", '3D']"
64,Metroid Prime: Federation Force,3DS,"Aug 19, 2016",5.5,/game/3ds/metroid-prime-federation-force,T,"['Next Level Games', ' Nintendo']","['Action', 'Shooter', 'First-Person', 'Arcade']"
78,Style Savvy: Fashion Forward,3DS,"Aug 19, 2016",6.9,/game/3ds/style-savvy-fashion-forward,E,['syn Sophia'],"['Simulation', 'Virtual', 'Career']"
,Metroid Prime: Blast Ball,3DS,"Jul 21, 2016",7.1,/game/3ds/metroid-prime-blast-ball,,['Next Level Games'],"['Action', 'Shooter', 'First-Person', 'Arcade']"
69,Pokemon GO,iOS,"Jul 6, 2016",5.5,/game/ios/pokemon-go,,['Niantic Labs'],"['Role-Playing', 'Trainer']"
,Teddy Together,3DS,"Jul 1, 2016",,/game/3ds/teddy-together,,['Arika'],"['Action', 'General']"
80,BoxBoxBoy!,3DS,"Jun 30, 2016",7.9,/game/3ds/boxboxboy!,E,['HAL Labs'],"['Puzzle', 'Action']"
,Hyrule Warriors Legends: Link's Awakening Pack,3DS,"Jun 30, 2016",,/game/3ds/hyrule-warriors-legends-links-awakening-pack,,['Omega Force'],"['Action', ""Beat-'Em-Up"", '3D']"
80,Tokyo Mirage Sessions #FE,WIIU,"Jun 24, 2016",7.9,/game/wii-u/tokyo-mirage-sessions-fe,T,['Atlus'],"['General', 'Fantasy', 'Role-Playing', 'Strategy', 'Turn-Based', 'Japanese-Style', 'General']"
65,Mario & Sonic at the Rio 2016 Olympic Games,WIIU,"Jun 24, 2016",7.9,/game/wii-u/mario-sonic-at-the-rio-2016-olympic-games,E10+,"['Nintendo', ' Sega Sports R&D']","['Sports', 'Individual', 'Athletics']"
,Tokyo Mirage Sessions #FE - EXPedition Hunter,WIIU,"Jun 24, 2016",,/game/wii-u/tokyo-mirage-sessions-fe---expedition-hunter,T,['Atlus'],"['Role-Playing', 'Japanese-Style']"
