Player,Team,AVG,GP-GS,GP,GS,AB,Runs,Hits,2B,3B,HR,RBI,TB,SLGP,BB,HBP,SO,GDP,OBP,SF,SH,SB-ATT
"J. Golden, HSU ",HSU ,0.243,37-29 ,37,29 ,74,14,18,2,0,2,11,26,0.351,4,8,15,0,0.349,0,1,4-4 
"T. Turner, HU ",HU ,0.242,46-19 ,46,19 ,62,16,15,2,1,0,6,19,0.306,3,0,8,0,0.277,0,5,7-7 
"A. Bryce, HU ",HU ,0.239,23-14 ,23,14 ,46,4,11,4,1,0,5,17,0.37,6,2,5,0,0.345,1,0,2-2 
"Kacie Gibbins, ATU ",ATU ,0.237,28-22 ,28,22 ,59,4,14,5,0,0,8,19,0.322,7,4,6,0,0.357,0,6,2-2 
"M. Fraley, HU ",HU ,0.236,36-31 ,36,31 ,89,7,21,2,1,0,9,25,0.281,6,0,11,0,0.284,0,2,2-2 
"Arissa Harrish, ATU ",ATU ,0.234,36-27 ,36,27 ,64,11,15,0,2,0,3,19,0.297,7,0,20,0,0.31,0,3,4-4 
"J. Albiter, HSU ",HSU ,0.234,19-16 ,19,16 ,47,6,11,1,0,0,7,12,0.255,4,1,8,0,0.308,0,2,1-1 
"G. Sanchez, NWOSU ",NWOSU ,0.233,23-12 ,23,12 ,30,10,7,1,0,2,8,14,0.467,5,1,11,0,0.361,0,2,2-2 
"Roberts, OKB ",OKB ,0.231,27-3 ,27,3 ,13,7,3,1,0,0,2,4,0.308,1,0,3,0,0.267,1,1,2-2 
"Campos, OKB ",OKB ,0.228,41-30 ,41,30 ,79,11,18,2,1,2,14,28,0.354,11,2,9,1,0.333,1,4,0-0 
"M. Riley, SNU ",SNU ,0.225,40-14 ,40,14 ,40,17,9,1,1,0,6,12,0.3,3,0,6,0,0.279,0,1,7-7 
"A. Beck, SOSU ",SOSU ,0.224,29-14 ,29,14 ,49,4,11,2,0,1,10,16,0.327,3,6,13,0,0.345,0,0,0-0 
"Abigail Lochala, ATU ",ATU ,0.221,33-32 ,33,32 ,77,4,17,3,0,0,16,20,0.26,10,1,13,0,0.311,2,2,0-0 
